# rundle_name	url	corrected_name (fill this in, then run apply_o_fixes.py)
A_Boardwalk	https://learnedleague.com/match.php?109&1&A_Boardwalk	O'SheaT
A_Foothills	https://learnedleague.com/match.php?109&1&A_Foothills	O'LearyR0
A_Foundry	https://learnedleague.com/match.php?109&1&A_Foundry	O'NeillM3
A_Juniper	https://learnedleague.com/match.php?109&1&A_Juniper	O'NeillC2
A_Lyceum	https://learnedleague.com/match.php?109&1&A_Lyceum	O'DonnellJ2
A_Meridian	https://learnedleague.com/match.php?109&1&A_Meridian	O'MalleyD
A_Mesa	https://learnedleague.com/match.php?109&1&A_Mesa	O'ConnorT
A_Morningstar	https://learnedleague.com/match.php?109&1&A_Morningstar	O'NeillR
A_Savanna	https://learnedleague.com/match.php?109&1&A_Savanna		COLLISION: [('O', "nealp'"), ('d', "ambrosion'")]
A_Seneca	https://learnedleague.com/match.php?109&1&A_Seneca	O'BrienMS
A_Spring	https://learnedleague.com/match.php?109&1&A_Spring		COLLISION: [('O', "loanes'"), ('O', "rourkels'")]
A_Tidewater	https://learnedleague.com/match.php?109&1&A_Tidewater	O'GradyS
A_Veldt	https://learnedleague.com/match.php?109&1&A_Veldt	O'SullivanC
A_Vista	https://learnedleague.com/match.php?109&1&A_Vista	O'NeillD16
A_Waterfront	https://learnedleague.com/match.php?109&1&A_Waterfront	O'LoughlinS
B_Arctic	https://learnedleague.com/match.php?109&1&B_Arctic	O'SheaA
B_Bayou	https://learnedleague.com/match.php?109&1&B_Bayou	O'QuinnE
B_Cerulean	https://learnedleague.com/match.php?109&1&B_Cerulean	O'HaraW
B_Cherry	https://learnedleague.com/match.php?109&1&B_Cherry	O'BrienDF
B_Commonwealth	https://learnedleague.com/match.php?109&1&B_Commonwealth	O'HeronB
B_Ember	https://learnedleague.com/match.php?109&1&B_Ember	O'MalleyR
B_Foundry	https://learnedleague.com/match.php?109&1&B_Foundry	O'ConnorCR
B_Garden	https://learnedleague.com/match.php?109&1&B_Garden	O'ConnorC2
B_Isthmus	https://learnedleague.com/match.php?109&1&B_Isthmus	O'ConnorT2
B_Juniper	https://learnedleague.com/match.php?109&1&B_Juniper	O'LearyC
B_Labyrinth	https://learnedleague.com/match.php?109&1&B_Labyrinth	O'ShaughnessyM
B_Maritime	https://learnedleague.com/match.php?109&1&B_Maritime	O'GradyR
B_Mojave	https://learnedleague.com/match.php?109&1&B_Mojave	O'BrienM2
B_Monolith	https://learnedleague.com/match.php?109&1&B_Monolith	O'DonnellM2
B_Ocean	https://learnedleague.com/match.php?109&1&B_Ocean		COLLISION: [('D', "ambrosiaj'"), ('O', "malleyk'")]
B_Orange	https://learnedleague.com/match.php?109&1&B_Orange	O'BrienB
